Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63882112fb3753adc11ca026,5c3388fa01439b0001a0adfe,APPROVED,2022-12-01T03:35:50.800000Z,2022-12-01T03:36:31.947000Z,2022-12-01T03:36:32.431000,2022-12-01T03:36:32.359953Z,42,C109FFJY,2923,Graduate degree (MA/MSc/MPhil/other),39,Female,White,United States,United States,United States,English,No,Full-Time
63882131e49747651cf2697a,5fa41b6733b31601ac3f79c5,APPROVED,2022-12-01T03:36:20.952000Z,2022-12-01T03:36:47.894000Z,2022-12-01T03:36:48.296000,2022-12-01T03:36:48.233244Z,27,C109FFJY,3325,Graduate degree (MA/MSc/MPhil/other),42,Female,White,United States,United States,United States,English,No,Full-Time
6388218101f3791c740519ff,628e96b9b7679f5464681a9a,APPROVED,2022-12-01T03:37:40.843000Z,2022-12-01T03:38:12.707000Z,2022-12-01T03:38:13.185000,2022-12-01T03:38:13.120447Z,32,C109FFJY,798,Doctorate degree (PhD/other),32,Male,White,United States,United States,United States,English,No,Full-Time
638821816d5edc084acfd01c,62dfdd3c61b792d28de9d0e3,APPROVED,2022-12-01T03:37:37.142000Z,2022-12-01T03:38:18.923000Z,2022-12-01T03:38:19.370000,2022-12-01T03:38:19.288192Z,42,C109FFJY,503,Graduate degree (MA/MSc/MPhil/other),29,Male,White,United States,United States,United States,English,No,Other
63882185eefab8660cb6bb26,5ce4c4ea209b8a001a6e3c11,APPROVED,2022-12-01T03:37:45.431000Z,2022-12-01T03:38:37.218000Z,2022-12-01T03:38:37.695000,2022-12-01T03:38:37.637620Z,52,C109FFJY,827,Graduate degree (MA/MSc/MPhil/other),33,Male,White,United States,United States,United States,English,Yes,Full-Time
638821ceb2f44851b74b6c37,5e8fb6ba9b5ff02b5150ab10,APPROVED,2022-12-01T03:38:56.880000Z,2022-12-01T03:39:24.170000Z,2022-12-01T03:39:24.572000,2022-12-01T03:39:24.494779Z,28,C109FFJY,1097,Graduate degree (MA/MSc/MPhil/other),25,Male,White,United States,United States,United States,English,No,Full-Time
638821d9c5a45771081ca046,63816ab7e566c76641c681b6,APPROVED,2022-12-01T03:39:07.601000Z,2022-12-01T03:39:42.320000Z,2022-12-01T03:39:42.754000,2022-12-01T03:39:42.694109Z,35,C109FFJY,5,Doctorate degree (PhD/other),30,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
638822016700ad96bbaa0349,63403b7f3fd164408c5ad4b0,AWAITING REVIEW,2022-12-01T03:39:48.247000Z,2022-12-01T03:40:41.890000Z,,2022-12-01T03:40:42.297042Z,54,NOCODE,429,Graduate degree (MA/MSc/MPhil/other),26,Male,Black,Ecuador,United States,United States,English,No,Full-Time
63882217fd637c58ac08cdd8,62d1b156b6d61bf9a721174a,AWAITING REVIEW,2022-12-01T03:40:10.166000Z,2022-12-01T03:40:42.800000Z,,2022-12-01T03:40:43.171727Z,33,NOCODE,456,Graduate degree (MA/MSc/MPhil/other),31,Male,Asian,United States,United States,United States,English,No,Full-Time
6388229860e9e32880beca41,5ea45eb9abef8a07bcced2bc,AWAITING REVIEW,2022-12-01T03:42:20.700000Z,2022-12-01T03:43:41.449000Z,,2022-12-01T03:43:41.963678Z,81,NOCODE,2492,Graduate degree (MA/MSc/MPhil/other),75,Female,White,United States,United States,United States,English,No,Other
