"","Participant.id","education","Age","Sex","Ethnicity.simplified","Student.status","Employment.status","treatment","response"
"372","5f4c4dd50a92c286c1972f06","medium",26,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,-10
"373","5f4f9bc1f7598f06b2dc816f","high",69,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-7
"374","5f524e7407f3574c7f05fa45","high",33,"Male","Asian","No","Full-Time",TRUE,-6
"375","5f52d796ff7e035e3f101e39","low",22,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,4
"376","5f5328104f8d2d6363b0e4ee","medium",21,"Female","White","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-4
"377","5f55703988e3f3145f5bb48a","medium",30,"Female","Black","No","Full-Time",TRUE,7
"378","5f5af9b06681112021ab7b8d","high",26,"Male","White","Yes","Full-Time",TRUE,-8
"379","5f5e401d77501a6b82743d56","medium",24,"Female","Mixed","Yes","Other",TRUE,-2
"380","5f6067975552dc000aa21f2a","high",44,"Female","White","No","DATA_EXPIRED",FALSE,10
"381","5f666d5bde24cf249e12a9fc","low",21,"Female","Mixed","Yes","Part-Time",TRUE,8
"382","5f69602cf5d6dd1506d536b4","medium",53,"Female","White","DATA_EXPIRED","DATA_EXPIRED",TRUE,-4
"383","5f6cd1061eba7b0de28b704d","low",21,"Male","Mixed","No","Full-Time",TRUE,-2
"384","5f6cefecb8137d13565d8c33","low",21,"Female","White","Yes","Part-Time",TRUE,-10
"385","5f6d434b44cd121bbb5179dc","high",37,"Female","Mixed","No","Part-Time",TRUE,-6
"386","5f6f738fef894f0dbf9839f8","high",32,"Male","White","DATA_EXPIRED","DATA_EXPIRED",TRUE,2
"387","5f7058deeb83ab60bb836eae","medium",21,"Female","White","Yes","Part-Time",FALSE,2
"388","5f710cf8423f15749e53499b","high",30,"Female","Asian","No","DATA_EXPIRED",TRUE,5
"389","5f744fb50bfbbd0a01cd5435","low",47,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-2
"390","5f79bca83a2eb65c0983816d","low",33,"Male","White","No","Unemployed (and job seeking)",TRUE,-4
"391","5f7b606667266b0f97046eb7","medium",28,"Female","Mixed","No","Full-Time",FALSE,-6
"392","5f7b8d1186b828165dae8e5f","high",59,"Male","White","No","Full-Time",FALSE,-8
"393","5f7dd6ed4303f7000814dd3b","medium",35,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,1
"394","5f865e9ac5be471b63865294","medium",35,"Female","White","No","Full-Time",TRUE,8
"395","5f8a1fcf2773900d456a3e70","medium",30,"Female","Black","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,0
"396","5f93a74574ea7c18489df9a5","low",38,"Male","White","No","Full-Time",FALSE,-3
"397","5f985a6faf071810974a32f8","high",34,"Male","White","No","Full-Time",TRUE,-10
"398","5f989fa02b5a611b2df1a305","high",47,"Female","White","No","Full-Time",FALSE,1
"399","5f98ab718920801c578363ab","high",41,"Female","Black","DATA_EXPIRED","Full-Time",TRUE,6
"400","5f9c9e203d44de174d8f4f6c","low",34,"Female","White","No","Unemployed (and job seeking)",FALSE,-6
"401","5f9e612e5e10814115cc780d","low",48,"Male","White","No","Unemployed (and job seeking)",FALSE,4
"402","5fa41b6733b31601ac3f79c5","high",42,"Female","White","No","Full-Time",FALSE,-6
"403","5faeb8eb6562cd0163f216ec","low",27,"Male","Asian","No","Unemployed (and job seeking)",FALSE,5
"404","5fb1a333667c756c6a13abe3","medium",28,"DATA_EXPIRED","White","Yes","Part-Time",TRUE,5
"405","5fb97228ff45687f38da7813","high",36,"Male","White","No","Full-Time",FALSE,5
"406","5fb9a27e3bdaed8b802b787b","medium",25,"Male","Mixed","No","Full-Time",TRUE,4
"407","5fb9a27e3bdaed8b802b787b","medium",25,"Male","Mixed","No","Full-Time",FALSE,4
"408","5fb9b9c1c62f408e51e09e32","high",69,"Female","White","No","DATA_EXPIRED",TRUE,-2
